year,month,day,R_Rf,R_Market,R_I_Aero,R_I_Guns,R_I_Steel,R_I_Ships,R_I_Beer,R_I_Toys,R_I_Fin,R_I_Rtail,eR_Market,eR_I_Aero,eR_I_Guns,eR_I_Steel,eR_I_Ships,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail
1982,3,31,.0097523,-.0089398,.0038924,-.0957403,-.0530844,.0073728,.0462154,.0577971,-.0236781,.0481233,-.01869213,-.00585988,-.10549256,-.06283666,-.00237954,.03646313,.04804481,-.03343042,.03837098
1982,4,30,.0112366,.0430595,.0499324,.0702721,.0158733,.1306773,.0945826,.0757566,.0449734,.0597772,.03182286,.03869574,.05903542,.00463672,.11944069,.08334601,.06451998,.03373673,.04854057
1982,5,31,.0105442,-.0297378,-.0434296,-.0298408,-.0706371,-.0964008,-.0253178,-.0651787,-.0461487,-.026652,-.04028203,-.05397377,-.04038506,-.08118129,-.10694498,-.03586202,-.07572294,-.05669287,-.03719625
1982,6,30,.0095542,-.0215301,-.0219389,-.0395728,-.0693501,.034498,.0212721,-.012275,-.0264466,.0344014,-.03108433,-.03149312,-.04912699,-.07890429,.02494383,.01171792,-.02182924,-.03600086,.02484721
1982,7,31,.0104453,-.0216323,.0376811,.013311,-.0471964,.0097523,.0831456,.040758,-.026344,.005286,-.03207756,.02723581,.00286576,-.05764169,-.00069297,.07270032,.03031273,-.03678923,-.00515925
1982,8,31,.0075713,.1124354,.1874749,.2824685,.1250455,.1342686,.0397014,.0718554,.1202688,.1103779,.10486417,.17990366,.27489724,.11747422,.12669735,.0321301,.06428417,.11269756,.10280664
1982,9,30,.005087,.0178399,.0055844,-.0138961,-.0532953,-.0197946,.0599656,.0043903,.0498372,.0538251,.01275288,.00049734,-.01898314,-.05838234,-.02488167,.05487854,-.00069669,.0447502,.04873805
1982,10,31,.0058827,.1123461,.1502287,.1408917,.0890177,.0218593,.0673782,.1768064,.1365394,.1578581,.1064634,.14434604,.13500908,.08313504,.01597667,.06149557,.17092371,.1306567,.15197543
1982,11,30,.0062802,.0516432,.043634,.0585519,.0358497,-.0344879,.0682192,.1110046,.0566638,.111094,.045363,.0373538,.05227165,.02956942,-.04076817,.061939,.10472432,.05038361,.10481381
1982,12,31,.0066777,.0121262,.0216636,-.0441609,.0553401,.0369104,-.0403013,-.0898153,-.020713,-.0304592,.00544853,.01498599,-.05083855,.04866244,.0302327,-.04697895,-.09649296,-.0273907,-.03713686
