year,month,day,R_Rf,R_Market,R_I_Aero,R_I_Guns,R_I_Steel,R_I_Ships,R_I_Beer,R_I_Toys,R_I_Fin,R_I_Rtail,eR_Market,FF_SMB_Factor,FF_HML_Factor,eR_I_Aero,eR_I_Guns,eR_I_Steel,eR_I_Ships,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail
1979,3,31,0.0080674,0.0628809,0.068406,0.0524976,0.087003,0.0684994,0.0770536,0.076498,0.0656005,0.0556239,0.05481352,0.0314018,-0.0065212,0.06033866,0.0444302,0.07893567,0.06043205,0.06898626,0.0684306,0.05753309,0.04755653,-0.0221841,0.01429229,0.01007515,-0.00437768
1979,4,30,0.0079682,0.0073728,-0.0106566,0.0096533,-0.0063199,-0.0146062,0.0221528,0.0691529,0.0154796,0.006479,-0.00059542,0.02137,0.0106432,-0.01862475,0.00168509,-0.0142881,-0.02257432,0.01418464,0.06118469,0.0075114,-0.0014892,-0.01277845,0.03489633,-0.00736762,-0.00029763
1979,5,31,0.0081666,-0.0139975,-0.0604934,0.0081666,-0.026344,-0.0147076,-0.0477207,0.0030952,0.0024969,-0.0290169,-0.02216407,0.0054849,0.019018,-0.06865994,-1.70E-10,-0.03451054,-0.02287419,-0.0558873,-0.00507136,-0.00566968,-0.03718351,-0.01037312,-0.10913824,-0.05969481,-0.05958949
1979,6,30,0.0080674,0.0455468,0.0392207,0.0338215,0.0215658,0.0954011,0.0589291,0.0333381,0.0705517,0.0265446,0.03747944,0.0117309,0.0146915,0.03115334,0.02575418,0.01349841,0.08733372,0.0508617,0.02527069,0.06248428,0.01847718,0.00019849,-0.01742135,0.00721953,0.06670738
1979,7,31,0.0076705,0.0157749,0.0373921,0.0235212,0.0441126,0.0369104,0.007472,0.0138043,0.0384512,0.0076705,0.00810441,0.0125213,0.0166604,0.02972161,0.01585069,0.03644207,0.02923985,-0.00019849,0.00613377,0.03078068,2.11E-10,-0.03728646,0.01300767,-0.01398345,0.00227869
1979,8,31,0.0076705,0.0610951,0.1192042,0.1404574,0.0689662,0.1603315,0.110557,0.088194,0.045069,0.0881024,0.0534246,0.0204887,-0.0150121,0.11153374,0.13278685,0.0612957,0.15266103,0.10288648,0.08052351,0.03739846,0.08043194,0.04868154,0.14788294,0.08758975,0.07901226
1979,9,30,0.0082657,0.0001,-0.0022024,-0.026344,0.0251803,0.0303352,-0.0103534,0.0138043,-0.0044097,-0.0197946,-0.00816575,-0.0024029,-0.0089398,-0.01046817,-0.03460972,0.01691455,0.02206946,-0.01861916,0.00553854,-0.01267545,-0.02806037,0.00168409,-0.10221478,0.01417626,-0.00556772
1979,10,31,0.0086624,-0.0750469,-0.0934319,-0.0905814,-0.1235245,-0.0424901,-0.1008153,-0.1018113,-0.1038062,-0.0882849,-0.08370925,-0.0337636,-0.0190809,-0.10209432,-0.09924375,-0.13218686,-0.05115242,-0.10947768,-0.11047364,-0.11246854,-0.09694729,0.0361696,-0.03219594,-0.00317335,-0.0223266
1979,11,30,0.0098513,0.0601539,0.1045402,0.1125248,0.0077697,0.1553785,0.07622,0.0236189,0.0641947,0.0326608,0.05030261,0.0270313,-0.0332466,0.09468887,0.10267347,-0.00208158,0.14552718,0.06636871,0.01376755,0.0543434,0.02280947,-0.00837409,-0.07791057,-0.00457712,-0.03526152
1979,12,31,0.0094552,0.0270313,0.0921233,0.090663,0.0787188,0.0337249,0.0411419,0.0452601,0.012225,0.0115332,0.01757618,0.041046,-0.0205089,0.08266813,0.08120787,0.06926359,0.02426971,0.03168678,0.03580497,0.00276981,0.00207808,0.00900149,0.02647473,0.02918057,-0.00738011
1980,1,31,0.0079682,0.0611892,0.2257801,0.0926703,0.1612681,0.1803196,0.1047203,0.1016537,0.036139,-0.0041084,0.053221,0.0163654,0.018331,0.2178119,0.08470217,0.15329998,0.17235139,0.09675214,0.09368548,0.02817088,-0.0120766,0.04478433,0.09463254,0.07159257,0.1137012
1980,2,28,0.0088606,-0.0033055,-0.0846868,-0.0349021,0.0009995,-0.0948603,-0.0232686,-0.0222456,-0.0130852,-0.0560414,-0.01216609,-0.0182658,0.0061809,-0.09354744,-0.04376268,-0.00786113,-0.10372091,-0.03212925,-0.03110624,-0.02194587,-0.06490202,0.00841547,-0.01542962,0.01195844,0.01705399
1980,3,31,0.0120274,-0.1243168,-0.1330744,-0.1654644,-0.2062864,-0.1179956,-0.1442169,-0.123072,-0.1195721,-0.081861,-0.13634421,-0.0687072,-0.0106566,-0.14510174,-0.17749182,-0.21831381,-0.13002294,-0.15624424,-0.13509938,-0.13159952,-0.09388841,0.03572855,-0.02822199,-0.0038835,-0.01300408
1980,4,30,0.0125213,0.0509782,-0.0308717,0.0187236,0.0228372,0.0184291,0.042197,-0.0394687,0.0533512,0.0452601,0.03845696,0.0095542,0.0104453,-0.04339294,0.00620233,0.01031595,0.00590785,0.02967577,-0.05199002,0.04082989,0.03273885,0.0074188,-0.05867805,0.01272646,-0.00358067
1980,5,31,0.0080674,0.0589291,0.0056838,0.0365248,0.0504079,-0.0030045,0.093126,0.0569473,0.0862694,0.0913934,0.0508617,0.0210763,0.0043903,-0.00238355,0.0284574,0.04234053,-0.01107188,0.08505861,0.04887991,0.07820207,0.08332605,0.07454073,0.06852916,0.05093559,0.10137882
1980,6,30,0.0060815,0.0360426,-0.0011006,0.0223484,0.0237165,0.018331,0.0366212,0.0265446,0.0523078,0.0246926,0.02996112,0.0165621,-0.0088389,-0.00718208,0.01626693,0.01763506,0.01224949,0.03053971,0.02046309,0.04622631,0.01861114,0.03065412,0.01421965,0.02242202,0.00792476
1980,7,31,0.005286,0.0678455,0.1127035,0.1505729,0.1200915,0.0871864,0.0863612,0.1153801,0.0472652,0.1046302,0.06255954,0.0415257,-0.065072,0.10741749,0.14528685,0.11480548,0.08190035,0.08107517,0.11009414,0.04197919,0.09934424,0.00555006,0.00337335,-0.01794984,-0.06476382
1980,8,31,0.0063796,0.0241071,0.015578,0.0024969,0.010841,0.0353671,0.0125213,0.0721346,0.0300441,0.0027961,0.01772747,0.038355,-0.0267547,0.00919842,-0.00388273,0.00446142,0.02898754,0.00614167,0.06575499,0.02366451,-0.00358352,0.01676568,-0.00588501,-0.00608511,-0.00879039
1980,9,30,0.007472,0.0289761,0.0421012,0.0340149,0.0448778,0.0438255,0.0105442,0.0695261,0.0426763,-0.0078306,0.02150409,0.0087615,-0.0490852,0.03462916,0.02654286,0.03740575,0.03635346,0.0030722,0.06205405,0.03520426,-0.01530259,-0.01351034,-0.06012152,-0.04430719,-0.04941163
1980,10,31,0.0094552,0.0199007,-0.0318003,-0.0003,-0.0103534,-0.016841,0.004689,0.0348844,0.0252778,-0.0186733,0.0104455,0.0243999,-0.0276796,-0.04125547,-0.0097552,-0.01980857,-0.02629618,-0.00476617,0.02542924,0.01582265,-0.02812842,0.04838793,-0.04834317,0.05536844,0.07288659
1980,11,30,0.0095542,0.1002977,0.1613533,0.1535791,0.0540146,0.1692363,0.0017984,0.1361031,0.0964005,0.0093561,0.09074351,-0.0351092,-0.0870841,0.15179904,0.14402488,0.04446038,0.15968211,-0.00775583,0.12654887,0.08684628,-0.00019812,0.01792798,0.09394485,0.0639109,0.06502916
1980,12,31,0.0130149,-0.0326265,0.0575139,0.0499324,-0.0439519,0.02137,-0.0415514,-0.0889405,-0.0035061,0.0022974,-0.04564144,-0.0027037,0.0264472,0.04449897,0.03691743,-0.05696683,0.00835509,-0.05456637,-0.10195545,-0.01652108,-0.01071758,0.10756375,0.05094052,0.04478433,0.03437503
